Ortholog_Group_ID,Dananassae_Gene,Dananassae_Chromosome,Dananassae_Start,Dananassae_Strand,Dsimulans_Gene,Dsimulans_Chromosome,Dsimulans_Start,Dsimulans_Strand,Dyakuba_Gene,Dyakuba_Chromosome,Dyakuba_Start,Dyakuba_Strand,Dsuzukii_Gene,Dsuzukii_Chromosome,Dsuzukii_Start,Dsuzukii_Strand,Dmiranda_Gene,Dmiranda_Chromosome,Dmiranda_Start,Dmiranda_Strand,Dmauritiana_Gene,Dmauritiana_Chromosome,Dmauritiana_Start,Dmauritiana_Strand,Dsechellia_Gene,Dsechellia_Chromosome,Dsechellia_Start,Dsechellia_Strand,Dsantomea_Gene,Dsantomea_Chromosome,Dsantomea_Start,Dsantomea_Strand,Dmelanogaster_Gene,Dmelanogaster_Chromosome,Dmelanogaster_Start,Dmelanogaster_Strand
58037at7215,LOC6500565,NC_057927.1,5117533,+,LOC6730332,NC_052523.2,27448231,+,LOC6539002,NC_052530.2,29981770,+,LOC108010780,NW_023496837.1,816366,-,LOC108156236,NC_046675.1,4546232,+,LOC117144597,NC_046670.1,28164847,+,LOC6612977,NC_045952.1,29761812,+,LOC120453638,NC_053019.2,28180511,+,gskt,NT_033777.3,31372427,+
58150at7215,LOC6499411,NC_057927.1,14176337,-,LOC6728469,NC_052523.2,14337070,+,LOC6537391,NC_052530.2,18598664,+,LOC108019474,NW_023496837.1,4302888,-,LOC108155570,NC_046675.1,28107793,+,LOC117145657,NC_046670.1,15091775,+,LOC6606771,NC_045952.1,16724588,+,LOC120454240,NC_053019.2,16831502,+,prd1,NT_033777.3,11781131,-
58532at7215,LOC6500568,NC_057927.1,5153424,+,LOC6730338,NC_052523.2,27480968,+,LOC6539008,NC_052530.2,30015201,+,LOC108010847,NW_023496837.1,723823,-,LOC108155750,NC_046675.1,4579397,+,LOC117143153,NC_046670.1,28197737,+,LOC6612984,NC_045952.1,29794649,+,LOC120452692,NC_053019.2,28213777,+,Gprk2,NT_033777.3,31405245,+
58964at7215,LOC6505641,NC_057927.1,26850543,+,LOC6730168,NC_052523.2,26163189,+,LOC6538828,NC_052530.2,28642599,+,LOC108019306,NW_023496837.1,2292280,-,LOC108156416,NC_046675.1,702343,-,LOC117142354,NC_046670.1,26859508,+,LOC6612807,NC_045952.1,28469819,+,LOC120453591,NC_053019.2,26846659,+,Sry-delta,NT_033777.3,30043341,+
59816at7215,LOC6506009,NC_057927.1,24989976,-,LOC6730088,NC_052523.2,25857148,+,LOC6538016,NC_052530.2,22724568,-,LOC108015444,NW_023496837.1,2617852,-,LOC108156102,NC_046675.1,1886005,-,LOC117145619,NC_046670.1,26543524,+,LOC6612731,NC_045952.1,28161287,+,LOC120451222,NC_053019.2,20958882,-,Kul,NT_033777.3,29725830,+
60557at7215,LOC6498923,NC_057927.1,22526780,-,LOC6729746,NC_052523.2,22677135,+,LOC6538385,NC_052530.2,26042742,-,LOC108020314,NW_023496837.1,3322150,+,LOC108157090,NC_046675.1,8264964,+,LOC117145962,NC_046670.1,23381546,+,LOC6617054,NC_045952.1,24997489,+,LOC120451178,NC_053019.2,24240332,-,CT17296,NT_033777.3,26461527,+
60579at7215,LOC6501585,NC_057927.1,21011333,+,LOC6730156,NC_052523.2,26124745,+,LOC6538816,NC_052530.2,28603584,+,LOC108015516,NW_023496837.1,2329904,-,LOC108155396,NC_046675.1,745003,-,LOC117142548,NC_046670.1,26821204,+,LOC6612795,NC_045952.1,28431307,+,LOC120453652,NC_053019.2,26807781,+,Nlp,NT_033777.3,30004785,+
60792at7215,LOC6499645,NC_057927.1,10912724,-,LOC6727649,NC_052523.2,8502965,-,LOC6535479,NC_052530.2,4164019,+,LOC108012041,NW_023496837.1,4677980,-,LOC108157216,NC_046675.1,28274496,+,LOC117143707,NC_046670.1,9242510,-,LOC6616691,NC_045952.1,10888432,-,LOC120453836,NC_053019.2,2421179,+,TyrRII,NT_033777.3,17750129,-
60871at7215,LOC6505639,NC_057927.1,26829112,+,LOC6730160,NC_052523.2,26142773,+,LOC6538821,NC_052530.2,28621787,+,LOC108019299,NW_023496837.1,2302872,-,LOC108156381,NC_046675.1,717173,-,LOC117145837,NC_046670.1,26839166,+,LOC6612800,NC_045952.1,28449555,+,LOC120454409,NC_053019.2,26825857,+,Axn,NT_033777.3,30022842,+
61475at7215,LOC6499123,NC_057927.1,18871401,-,LOC6730104,NC_052523.2,25929648,-,LOC6538001,NC_052530.2,22657137,+,LOC108015518,NW_023496837.1,2543483,+,LOC108156640,NC_046675.1,17222770,-,LOC117145756,NC_046670.1,26617572,-,LOC6612747,NC_045952.1,28233447,-,LOC120453128,NC_053019.2,20889527,+,ETFB,NT_033777.3,29801599,-
62559at7215,LOC6505942,NC_057927.1,26126408,-,LOC27206382,NC_052523.2,27062971,-,LOC6538955,NC_052530.2,29571635,-,LOC108012148,NW_023496837.1,1233651,+,LOC108156426,NC_046675.1,1323559,-,LOC117142321,NC_046670.1,27772671,-,LOC6612932,NC_045952.1,29377504,-,LOC120452771,NC_053019.2,27777115,-,5-HT7,NT_033777.3,30968236,-
63404at7215,LOC6499584,NC_057927.1,11442925,-,LOC6729692,NC_052523.2,22179724,+,LOC6538441,NC_052530.2,26542588,-,LOC108016303,NW_023496837.1,2752562,+,LOC108157706,NC_046675.1,21269661,-,LOC117145538,NC_046670.1,22884210,+,LOC6616996,NC_045952.1,24496985,+,LOC120452457,NC_053019.2,24752293,-,Dmel\CG14540,NT_033777.3,25959279,+
6420at7215,LOC6501438,NC_057927.1,18872847,+,LOC6730105,NC_052523.2,25931098,+,LOC6538000,NC_052530.2,22655734,-,LOC108015488,NW_023496837.1,2541950,-,LOC108155449,NC_046675.1,17224877,+,LOC117145755,NC_046670.1,26619030,+,LOC6612748,NC_045952.1,28234908,+,LOC120453126,NC_053019.2,20888126,-,Dmel\CG7789,NT_033777.3,29803196,+
64315at7215,LOC6501004,NC_057927.1,11448890,+,LOC6729689,NC_052523.2,22143824,-,LOC6538443,NC_052530.2,26548278,+,LOC108016307,NW_023496837.1,2709348,-,LOC108154303,NC_046675.1,21276089,+,LOC117144305,NC_046670.1,22848329,-,LOC6616993,NC_045952.1,24461597,-,LOC120451787,NC_053019.2,24758081,+,CCAP-R,NT_033777.3,25923499,-
65443at7215,LOC6499122,NC_057927.1,18873908,-,LOC6730107,NC_052523.2,25932208,-,LOC6537999,NC_052530.2,22653370,+,LOC108015487,NW_023496837.1,2539556,+,LOC108155448,NC_046675.1,17225959,-,LOC117145750,NC_046670.1,26620200,-,LOC6612749,NC_045952.1,28236002,-,LOC120453119,NC_053019.2,20885748,+,ncd,NT_033777.3,29804290,-
65562at7215,LOC6505568,NC_057927.1,25792142,+,LOC6730259,NC_052523.2,26785173,+,LOC6538923,NC_052530.2,29285656,+,LOC108013675,NW_023496837.1,1575729,-,LOC108157659,NC_046675.1,1002007,+,LOC117144939,NC_046670.1,27496445,+,LOC6612899,NC_045952.1,29094352,+,LOC120452920,NC_053019.2,27484761,+,Spn100A,NT_033777.3,30690642,+
65731at7215,LOC6505951,NC_057927.1,26014696,-,LOC6730276,NC_052523.2,26968797,-,LOC6538943,NC_052530.2,29474539,-,LOC108012150,NW_023496837.1,1362339,+,LOC108155508,NC_046675.1,1221628,-,LOC117145594,NC_046670.1,27678575,-,LOC6612919,NC_045952.1,29284249,-,LOC120453431,NC_053019.2,27680400,-,Dmel\CG15546,NT_033777.3,30874365,-
65884at7215,LOC6505728,NC_057927.1,28195762,+,LOC6727651,NC_052523.2,8518305,-,LOC6535477,NC_052530.2,4154337,+,LOC108012052,NW_023496837.1,4691674,-,LOC108157437,NC_046675.1,28264869,+,LOC117145203,NC_046670.1,9255609,-,LOC6616693,NC_045952.1,10903937,-,LOC120453283,NC_053019.2,2408100,+,Lgr1,NT_033777.3,17725777,+
66018at7215,LOC6505559,NC_057927.1,25618164,+,LOC6730242,NC_052523.2,26616289,+,LOC6538905,NC_052530.2,29108144,+,LOC108017243,NW_023496837.1,1775248,-,LOC108155853,NC_046675.1,478672,+,LOC117144493,NC_046670.1,27312007,+,LOC6612882,NC_045952.1,28919062,+,LOC120452290,NC_053019.2,27305670,+,Dmel\CG9698,NT_033777.3,30514777,+
6609at7215,LOC6501595,NC_057927.1,21241171,+,LOC27208805,NC_052523.2,26299354,+,LOC6538851,NC_052530.2,28789539,+,LOC108018585,NW_023496837.1,2138672,-,LOC108157497,NC_046675.1,165937,+,LOC117145207,NC_046670.1,26995585,+,LOC6612831,NC_045952.1,28613188,+,LOC120452580,NC_053019.2,26987236,+,Bet5,NT_033777.3,30180232,+
67061at7215,LOC6501193,NC_057927.1,14515114,+,LOC6730314,NC_052523.2,27301869,+,LOC6538979,NC_052530.2,29828321,+,LOC108010864,NW_023496837.1,978225,-,LOC108154627,NC_046675.1,1590338,+,LOC117145807,NC_046670.1,28009693,+,LOC6612957,NC_045952.1,29615677,+,LOC120452102,NC_053019.2,28027646,+,CG1542,NT_033777.3,31213458,+
69512at7215,LOC6499591,NC_057927.1,11389561,-,LOC6729699,NC_052523.2,22231111,+,LOC6538433,NC_052530.2,26491668,-,LOC108016311,NW_023496837.1,2815189,+,LOC108154257,NC_046675.1,21208813,-,LOC117144397,NC_046670.1,22935845,+,LOC6617006,NC_045952.1,24551351,+,LOC120452862,NC_053019.2,24694507,-,E(spl)malpha-BFM,NT_033777.3,26010893,+
70218at7215,LOC6501171,NC_057927.1,14111756,+,LOC6728476,NC_052523.2,14391871,-,LOC6537399,NC_052530.2,18654106,-,LOC108007250,NW_023496837.1,4237814,+,LOC108155224,NC_046675.1,28161297,-,LOC117145253,NC_046670.1,15146402,-,LOC6606779,NC_045952.1,16779028,-,LOC120453473,NC_053019.2,16886879,-,Dmel\CG12594,NT_033777.3,11721734,+
70784at7215,LOC6505949,NC_057927.1,26023029,-,LOC6730278,NC_052523.2,26976323,-,LOC6538945,NC_052530.2,29482000,-,LOC108012157,NW_023496837.1,1354109,+,LOC108155509,NC_046675.1,1229968,-,LOC117142922,NC_046670.1,27686155,-,LOC6612921,NC_045952.1,29291448,-,LOC120451180,NC_053019.2,27687983,-,Dmel\CG15547,NT_033777.3,30881792,-
70964at7215,LOC6501281,NC_057927.1,15862282,+,LOC6729723,NC_052523.2,22335709,+,LOC6538411,NC_052530.2,26375124,-,LOC108014072,NW_023496837.1,2925168,+,LOC108157460,NC_046675.1,21081140,-,LOC117144602,NC_046670.1,23040308,+,LOC6617029,NC_045952.1,24653626,+,LOC120453210,NC_053019.2,24578259,-,CG14557,NT_033777.3,26106868,+
71075at7215,LOC6499570,NC_057927.1,11549262,-,LOC6729673,NC_052523.2,22064120,+,LOC6538458,NC_052530.2,26651860,-,LOC108015443,NW_023496837.1,2628442,+,LOC108156983,NC_046675.1,25606439,-,LOC117144681,NC_046670.1,22775978,+,LOC6616978,NC_045952.1,24385726,+,LOC120453049,NC_053019.2,24863781,-,Dmel\CG5886,NT_033777.3,25851632,+
71516at7215,LOC6501582,NC_057927.1,21001230,+,LOC6730152,NC_052523.2,26117722,+,LOC6537961,NC_052530.2,22462455,-,LOC108015459,NW_023496837.1,2341082,-,LOC108155306,NC_046675.1,756116,-,LOC117142544,NC_046670.1,26814204,+,LOC6612791,NC_045952.1,28424254,+,LOC120450829,NC_053019.2,20694401,-,Dmel\CG11504,NT_033777.3,29997900,+
72080at7215,LOC26515613,NC_057927.1,23749694,+,LOC27206843,NC_052523.2,22423142,+,LOC26535095,NC_052530.2,26273596,-,LOC108014077,NW_023496837.1,3055265,+,LOC108157356,NC_046675.1,20928873,-,LOC117144520,NC_046670.1,23149682,+,LOC6617036,NC_045952.1,24762247,+,LOC120452357,NC_053019.2,24474915,-,Dmel\CG12290,NT_033777.3,26230248,+
72216at7215,LOC6501002,NC_057927.1,11383458,+,LOC27206428,NC_052523.2,22236656,-,LOC6538430,NC_052530.2,26482251,+,LOC108020692,NW_023496837.1,2821597,-,LOC108154261,NC_046675.1,21202270,+,LOC117145024,NC_046670.1,22941695,-,LOC6617008,NC_045952.1,24563499,-,LOC120451849,NC_053019.2,24686314,+,E(spl)m2-BFM,NT_033777.3,26016514,-
72349at7215,LOC6499387,NC_057927.1,14516372,-,LOC6730315,NC_052523.2,27303176,-,LOC6538980,NC_052530.2,29829634,-,LOC108010863,NW_023496837.1,977004,+,LOC108154628,NC_046675.1,1591507,-,LOC117145806,NC_046670.1,28010995,-,LOC6612958,NC_045952.1,29616969,-,LOC120452101,NC_053019.2,28028960,-,Dmel\CG15561,NT_033777.3,31214776,-
7289at7215,LOC6505922,NC_057927.1,26371171,-,LOC6729834,NC_052523.2,23334074,+,LOC6538299,NC_052530.2,25360237,-,LOC108016132,NW_023496837.1,4071528,+,LOC108157049,NC_046675.1,9027385,+,LOC117143411,NC_046670.1,24044213,+,LOC6617143,NC_045952.1,25653572,+,LOC120451421,NC_053019.2,23564278,-,Men-b,NT_033777.3,27151662,+
73552at7215,LOC6501003,NC_057927.1,11395691,+,LOC6729698,NC_052523.2,22225231,-,LOC6538434,NC_052530.2,26496068,+,LOC108014057,NW_023496837.1,2808810,-,LOC108157546,NC_046675.1,21214823,+,LOC117144396,NC_046670.1,22929910,-,LOC6617005,NC_045952.1,24545483,-,LOC120452860,NC_053019.2,24700285,+,E(spl)mbeta-HLH,NT_033777.3,26005046,-
73723at7215,LOC6500951,NC_057927.1,10897669,+,LOC6727648,NC_052523.2,8487906,+,LOC6535480,NC_052530.2,4181691,-,LOC108011385,NW_023496837.1,4665937,+,LOC108157215,NC_046675.1,28282197,-,LOC117145397,NC_046670.1,9226369,+,LOC6616690,NC_045952.1,10865779,+,LOC120452814,NC_053019.2,2432363,-,TyrR,NT_033777.3,17750129,-
73975at7215,LOC6499646,NC_057927.1,10862727,-,LOC6727644,NC_052523.2,8454612,-,LOC6535483,NC_052530.2,4226886,+,LOC108011395,NW_023496837.1,4624322,-,LOC108157036,NC_046675.1,28322118,+,LOC117144212,NC_046670.1,9193100,-,LOC6616684,NC_045952.1,10832480,-,LOC120452730,NC_053019.2,2479598,+,pasi1,NT_033777.3,17795075,+
74128at7215,LOC6499412,NC_057927.1,14158614,-,LOC6728471,NC_052523.2,14346093,+,LOC6537393,NC_052530.2,18607190,+,LOC108014731,NW_023496837.1,4286194,-,LOC108155572,NC_046675.1,28115498,+,LOC117142403,NC_046670.1,15100671,+,LOC6606773,NC_045952.1,16733533,+,LOC120452021,NC_053019.2,16840003,+,l(3)neo38,NT_033777.3,11765038,-
74342at7215,LOC6498922,NC_057927.1,22536082,-,LOC6729745,NC_052523.2,22673761,+,LOC6538386,NC_052530.2,26051244,-,LOC108010907,NW_023496837.1,3318282,+,LOC108154561,NC_046675.1,8262092,+,LOC117143820,NC_046670.1,23378323,+,LOC6617053,NC_045952.1,24994082,+,LOC120452822,NC_053019.2,24248996,-,Dmel\CG14238,NT_033777.3,26458249,+
74481at7215,LOC6499385,NC_057927.1,14524690,-,LOC6730316,NC_052523.2,27304573,-,LOC6538981,NC_052530.2,29831678,-,LOC108010861,NW_023496837.1,973255,+,LOC108154629,NC_046675.1,1594119,-,LOC117144047,NC_046670.1,28012398,-,LOC6612959,NC_045952.1,29618378,-,LOC120452258,NC_053019.2,28030375,-,ATPsynC,NT_033777.3,31216145,-
74785at7215,LOC6498993,NC_057927.1,21232796,-,LOC6730188,NC_052523.2,26291990,-,LOC6538847,NC_052530.2,28782131,-,LOC108016479,NW_023496837.1,2145866,+,LOC108157427,NC_046675.1,155404,-,LOC117143422,NC_046670.1,26988209,-,LOC6612828,NC_045952.1,28605779,-,LOC120452111,NC_053019.2,26979598,-,Mlc2,NT_033777.3,30171438,-
74886at7215,LOC6501594,NC_057927.1,21238162,+,LOC6730190,NC_052523.2,26297024,+,LOC6538849,NC_052530.2,28787199,+,LOC108016447,NW_023496837.1,2139837,-,LOC108154057,NC_046675.1,163093,+,LOC117143419,NC_046670.1,26993227,+,LOC6612830,NC_045952.1,28610809,+,LOC120452578,NC_053019.2,26984911,+,Dmel\CG15530,NT_033777.3,30177877,+
75726at7215,LOC6505953,NC_057927.1,25898326,-,LOC6730270,NC_052523.2,26884628,-,LOC6538935,NC_052530.2,29387881,-,LOC108012158,NW_023496837.1,1445625,+,LOC108156242,NC_046675.1,1115431,-,LOC117142669,NC_046670.1,27594723,-,LOC6612913,NC_045952.1,29192297,-,LOC120451280,NC_053019.2,27588046,-,wts,NT_033777.3,30789625,-
76251at7215,LOC6499540,NC_057927.1,12091998,-,LOC6727635,NC_052523.2,8376815,-,LOC6535491,NC_052530.2,4245205,+,LOC108019482,NW_023496837.1,4539820,-,LOC108154208,NC_046675.1,30989140,+,LOC117142860,NC_046670.1,9117157,-,LOC6616675,NC_045952.1,10756734,-,LOC120453848,NC_053019.2,2512297,-,tinc,NT_033777.3,17811541,+
76419at7215,LOC6499302,NC_057927.1,15830548,-,LOC6729720,NC_052523.2,22296971,-,LOC6538412,NC_052530.2,26398809,+,LOC108014050,NW_023496837.1,2889099,-,LOC108157563,NC_046675.1,21107811,+,LOC117142793,NC_046670.1,23001629,-,LOC6617028,NC_045952.1,24623571,-,LOC120453558,NC_053019.2,24601995,+,dysf,NT_033777.3,26076592,-
76709at7215,LOC6499587,NC_057927.1,11419111,-,LOC27207059,NC_052523.2,22190442,+,LOC6538439,NC_052530.2,26521012,-,LOC108016304,NW_023496837.1,2764593,+,LOC108157686,NC_046675.1,21240004,-,LOC117145016,NC_046670.1,22894950,+,LOC6616998,NC_045952.1,24507698,+,LOC120452841,NC_053019.2,24723888,-,fid,NT_033777.3,25970080,+
76820at7215,LOC6505580,NC_057927.1,26061754,+,LOC6730284,NC_052523.2,27007775,+,LOC6538950,NC_052530.2,29514421,+,LOC108012141,NW_023496837.1,1299014,-,LOC108156425,NC_046675.1,1266580,+,LOC117145152,NC_046670.1,27717646,+,LOC6612927,NC_045952.1,29323123,+,LOC120452634,NC_053019.2,27723222,+,Ptx1,NT_033777.3,30912754,+
77415at7215,LOC6505575,NC_057927.1,25942217,+,LOC6730273,NC_052523.2,26922369,+,LOC6538938,NC_052530.2,29426187,+,LOC108018265,NW_023496837.1,1406096,-,LOC108157738,NC_046675.1,1166872,+,LOC117143877,NC_046670.1,27632153,+,LOC116801570,NC_045952.1,29237966,+,LOC120453406,NC_053019.2,27631742,+,Dmel\CG15544,NT_033777.3,30827819,+
78187at7215,LOC6500948,NC_057927.1,10860729,+,LOC6727643,NC_052523.2,8452609,+,LOC6535484,NC_052530.2,4228138,-,LOC108011394,NW_023496837.1,4622300,+,LOC108157035,NC_046675.1,28323497,-,LOC117144210,NC_046670.1,9191103,+,LOC6616683,NC_045952.1,10830501,+,LOC120452729,NC_053019.2,2480868,-,Dmel\CG7379,NT_033777.3,17796376,-
79485at7215,LOC6505928,NC_057927.1,26342160,-,LOC6729832,NC_052523.2,23348132,+,LOC6538295,NC_052530.2,25349706,-,LOC108011710,NW_023496837.1,4088656,+,LOC108157571,NC_046675.1,9042877,+,LOC117144941,NC_046670.1,24058309,+,LOC6617148,NC_045952.1,25667706,+,LOC120453720,NC_053019.2,23553955,-,spn-D,NT_033777.3,27165716,+
79503at7215,LOC6505950,NC_057927.1,26018060,-,LOC6730277,NC_052523.2,26971588,-,LOC6538944,NC_052530.2,29477406,-,LOC108012167,NW_023496837.1,1356715,+,LOC108155507,NC_046675.1,1224032,-,LOC117144951,NC_046670.1,27681436,-,LOC6612920,NC_045952.1,29287048,-,LOC120453545,NC_053019.2,27683273,-,Dmel\CG12071,NT_033777.3,30877084,-
79757at7215,LOC6500563,NC_057927.1,5056138,+,LOC6730330,NC_052523.2,27392350,+,LOC6538999,NC_052530.2,29922476,+,LOC108010771,NW_023496837.1,820447,-,LOC108156233,NC_046675.1,4484253,+,LOC117144596,NC_046670.1,28100376,+,LOC6612974,NC_045952.1,29706026,+,LOC120451565,NC_053019.2,28121767,+,EST:LP08211,NT_033777.3,31311157,+
79887at7215,LOC6505577,NC_057927.1,26002369,+,LOC6739791,NC_052523.2,26962157,+,LOC6538941,NC_052530.2,29467827,+,LOC108012164,NW_023496837.1,1369905,-,LOC108155511,NC_046675.1,1209803,+,LOC117145445,NC_046670.1,27671913,+,LOC6612917,NC_045952.1,29277615,+,LOC120453029,NC_053019.2,27673676,+,Cpr100A,NT_033777.3,30867521,+
80441at7215,LOC6505961,NC_057927.1,25736992,-,LOC6730255,NC_052523.2,26728761,-,LOC6538917,NC_052530.2,29222944,-,LOC108017263,NW_023496837.1,1641392,+,LOC108157819,NC_046675.1,928431,-,LOC117145691,NC_046670.1,27424442,-,LOC6612895,NC_045952.1,29039013,-,LOC120452934,NC_053019.2,27425526,-,Dmel\CG2267,NT_033777.3,30627241,-
81271at7215,LOC6498981,NC_057927.1,21472435,-,LOC6730217,NC_052523.2,26524668,-,LOC6538880,NC_052530.2,29017733,-,LOC108017270,NW_023496837.1,1877151,+,LOC108157262,NC_046675.1,385335,-,LOC117143825,NC_046670.1,27223088,-,LOC6612859,NC_045952.1,28832800,-,LOC120453402,NC_053019.2,27215740,-,Dmel\CG15535,NT_033777.3,30423032,-
82986at7215,LOC6501194,NC_057927.1,14528962,+,LOC6730318,NC_052523.2,27309072,+,LOC6538983,NC_052530.2,29835660,+,LOC108015738,NW_023496837.1,963809,-,LOC108154622,NC_046675.1,1597544,+,LOC117142620,NC_046670.1,28016929,+,LOC6612961,NC_045952.1,29622908,+,LOC120450975,NC_053019.2,28035019,+,Dmel\CG12054,NT_033777.3,31220702,+
73871at7215,LOC6500368,NC_057927.1,1582848,+,LOC6728255,NC_052523.2,12995744,-,LOC6536922,NC_052530.2,15093363,+,LOC108018776,NW_023496899.1,198419,-,LOC108154427,NC_046675.1,14394356,+,LOC117144173,NC_046670.1,13758237,-,LOC6606566,NC_045952.1,15383748,-,LOC120451980,NC_053019.2,13289809,+,Dmel\CG14380,NT_033777.3,13188519,+
22086at7215,LOC6505781,NC_057927.1,28300850,-,LOC27208816,NC_052523.2,706481,+,LOC6535247,NC_052530.2,2364679,+,LOC108017369,NW_023497037.1,1249580,-,LOC108157100,NC_046675.1,27200805,-,LOC117145325,NC_046670.1,1540874,+,LOC6613776,NC_045952.1,3040988,+,LOC120451856,NC_053019.2,581354,+,Gfat1,NT_033777.3,4126442,+
26575at7215,LOC6499697,NC_057927.1,9954650,-,LOC6727561,NC_052523.2,7839586,-,LOC6535568,NC_052530.2,4848016,+,LOC108017516,NW_023497053.1,1337319,-,LOC108155581,NC_046675.1,13420385,+,LOC117143177,NC_046670.1,8579496,-,LOC6613757,NC_045952.1,10215412,-,LOC120452974,NC_053019.2,3096394,+,Dmel\CG7685,NT_033777.3,18404940,+
48918at7215,LOC6500877,NC_057927.1,9685054,+,LOC6728310,NC_052523.2,13448164,+,LOC6536869,NC_052530.2,14601761,-,LOC108014689,NW_023497053.1,1021983,+,LOC108156792,NC_046675.1,13809600,-,LOC117143914,NC_046670.1,14212593,+,LOC6606616,NC_045952.1,15831442,+,LOC120451369,NC_053019.2,12802574,-,Men,NT_033777.3,12713103,-
49836at7215,LOC6500889,NC_057927.1,9958154,+,LOC6727563,NC_052523.2,7842717,+,LOC6535567,NC_052530.2,4843374,-,LOC108017511,NW_023497053.1,1340924,+,LOC108155573,NC_046675.1,13414594,-,LOC117146072,NC_046670.1,8582725,+,LOC6613759,NC_045952.1,10218655,+,LOC120454569,NC_053019.2,3091697,-,Wdr37,NT_033777.3,18400373,-
63553at7215,LOC6499705,NC_057927.1,9708090,-,LOC6727544,NC_052523.2,7582735,-,LOC6535588,NC_052530.2,5112543,+,LOC108014692,NW_023497053.1,1047136,-,LOC108154990,NC_046675.1,13796172,+,LOC117143096,NC_046670.1,8318587,-,LOC6613737,NC_045952.1,9962204,-,LOC120453265,NC_053019.2,3363073,+,Gos28,NT_033777.3,18663738,+
7171at7215,LOC6500879,NC_057927.1,9709698,+,LOC6727545,NC_052523.2,7584500,+,LOC6535587,NC_052530.2,5109937,-,LOC108014694,NW_023497053.1,1050275,+,LOC108154986,NC_046675.1,13793101,-,LOC117143091,NC_046670.1,8320392,+,LOC6613738,NC_045952.1,9963997,+,LOC120453261,NC_053019.2,3360446,-,Cpsf73,NT_033777.3,18661121,-
73757at7215,LOC6499704,NC_057927.1,9712151,-,LOC6727546,NC_052523.2,7586930,-,LOC6535586,NC_052530.2,5108432,+,LOC108014695,NW_023497053.1,1052672,-,LOC108154989,NC_046675.1,13791630,+,LOC117143094,NC_046670.1,8322804,-,LOC6613739,NC_045952.1,9966412,-,LOC120453264,NC_053019.2,3358984,+,CstF64,NT_033777.3,18659618,+
77749at7215,LOC6500880,NC_057927.1,9714021,+,LOC6727548,NC_052523.2,7588703,+,LOC6535585,NC_052530.2,5099872,-,LOC108015975,NW_023497053.1,1060328,+,LOC108154985,NC_046675.1,13780857,-,LOC117143089,NC_046670.1,8324631,+,LOC6613740,NC_045952.1,9968218,+,LOC120453260,NC_053019.2,3349825,-,CG7696,NT_033777.3,18650121,-
70704at7215,LOC6499285,NC_057927.1,16048172,-,LOC6725573,NC_052525.2,9594651,+,LOC6525969,NC_052526.2,19065725,+,LOC108015107,NW_023496845.1,3307004,-,LOC108151554,NC_046673.1,24117878,-,LOC117147927,NC_046672.1,9798447,+,LOC6617504,NC_045954.1,9812884,+,LOC120456418,NC_053021.2,18829219,+,CG12648,NC_004354.4,10009210,+
12100at7215,LOC6499633,NC_057927.1,11063333,-,LOC6739912,NC_052525.2,1292357,+,LOC6523924,NC_052526.2,1316696,+,LOC108016589,NW_023496845.1,6300705,+,LOC108151467,NC_046674.1,28561122,-,LOC117148049,NC_046672.1,1453891,+,LOC6615993,NC_045954.1,1415659,+,LOC120457354,NC_053021.2,1301490,+,pck,NC_004354.4,1470666,+
55849at7215,LOC26514320,NC_057927.1,16351468,+,LOC6739836,NC_052525.2,15267906,-,LOC6524888,NC_052526.2,10198702,-,LOC108019219,NW_023496845.1,13164789,+,LOC117186230,NC_046674.1,32739908,+,LOC117146710,NC_046672.1,15605968,-,LOC6619985,NC_045954.1,15799045,-,LOC120455349,NC_053021.2,9773370,-,PGRP-LE,NC_004354.4,15801153,-
42891at7215,LOC6506293,NC_057928.1,8532041,+,LOC6735239,NC_052521.2,16515348,+,LOC6530965,NC_052528.2,16650258,-,LOC108009866,NW_023496807.1,3631511,-,LOC117188910,NC_046677.1,2199563,-,LOC117136201,NC_046668.1,17645550,+,LOC6609917,NC_045950.1,15387254,+,LOC120444920,NC_053017.2,13507791,-,cg7461,NT_033778.4,19305172,+
34297at7215,LOC6507572,NC_057928.1,26236636,-,LOC6736439,NC_052522.2,1916911,-,LOC6532479,NC_052529.2,1956580,-,LOC108012872,NW_023496810.1,124408,+,LOC108151029,NC_046674.1,20032455,+,LOC117139444,NC_046669.1,1874387,-,LOC6613535,NC_045949.1,5793091,-,LOC120447569,NC_053018.2,1951987,-,mv,NT_037436.4,1950306,-
34227at7215,LOC6507384,NC_057928.1,24919450,+,LOC6734400,NC_052522.2,264156,-,LOC6532208,NC_052529.2,271068,-,LOC108012853,NW_023496810.1,2270557,-,LOC108151215,NC_046674.1,10351145,-,LOC117141633,NC_046669.1,223353,-,LOC6610156,NC_045951.1,325268,-,LOC120449316,NC_053018.2,265860,-,DIP2,NT_033777.3,18283660,+
12170at7215,LOC6493264,NC_057928.1,15396712,-,LOC6736237,NC_052522.2,712664,+,LOC6532261,NC_052529.2,722327,+,LOC108013306,NW_023496810.1,1532606,-,LOC108152283,NC_046674.1,757630,+,LOC117139931,NC_046669.1,670281,+,LOC6610210,NC_045951.1,760264,+,LOC120449820,NC_053018.2,716469,+,RabX6,NT_037436.4,690517,+
